product_name,product_price,installment_price,free_shipment
 Batman: Last Knight On Earth Libro Uno ,99.0,,False
 Comic De Batman: Death Of The Family Book And Joker Mask Msi ,950.0,79.17,True
 Lata De Aluminio Homero Simpsons /starbuks ,265.0,,True
 Spiderman 13 (marvel 1991) Todd Mcfarlane.direct Edition. ,250.0,24.7,False
 La Maldicion De Spawn Completo Editorial Vid ,1460.0,144.24,True
" Sideshow Hulk Y Wolverine,proveedor Comicx , Nuevo ",15200.0,1502.0,True
" Panini, Super Campeones / La Colección Oficial, Cada Una Por ",199.0,16.58,False
 Comic The Amazing Spiderman No.194 Variante La Mole Marvel ,349.0,34.48,False
 Taza Para Café Bart Simpsons /starbuks ,195.0,,True
 Encapsuladora Acrilico Semiautomatica 100cps ,5000.0,493.96,True
 Funko Navideño Star Wars Darth Vader Nuevo Original ,345.0,34.08,True
 Comic Planet Hulk Gratis Thor The Unworthy Nuevos Y Sellado ,379.0,31.58,False
 Injustice Gods Among Us: Año 1 Vol.2 Dc Definitive Edition ,300.0,29.64,False
 Spider Gwen ¿la Mas Buscada? Marvel Best Sellers ,300.0,29.64,False
 Cuadro Moderno En Tela Marvel Comics 90x140cm ,985.0,,True
 Comic Superior Spider-man Tomo 4 Sellado Español ,299.0,24.92,False
 Dc Comics Deluxe Injustice Ground Zero La Colección Completa ,599.0,49.92,True
 Comic The Walking Dead # 27 Editorial Kamite Español Nuevo ,259.0,21.58,False
 Batman: Last Knight On Earth Libro 2 ,99.0,,False
 Comic Dc Comics Deluxe: Batman/flash El Botón Sellado ,549.0,45.75,True
 Tohru ( Kobayashi-san Ch No Maid Dragon ) Mini Cojin ,55.0,,False
 Batman La Saga De La Corte De Los Buhos Dc Essential Edition ,400.0,39.52,False
 Batman Rebirth Vol.2 Soy Suicida Tpb Televisa ,240.0,23.71,False
 Hellblazer Vol.2 (vol. 7 Al 11) Vertigo Tpb ,240.0,23.71,False
 Comic Hellboy Vol. 3 El Ataud Encadenado Y Otras Historias ,249.0,20.75,False
 Batman Rebirth Vol.3 Yo Soy Bane Tpb Televisa ,240.0,23.71,False
 Comic The Amazing Spider-man Volumen 6 Identidad E Imperio ,199.0,16.58,False
 50 Bolsas Protectoras Para Comics Tamaño Deluxe Pasta Dura ,65.0,,False
 Marvel Deluxe The Superior Spider-man Vol. 1 Pasta Dura ,410.0,40.5,False
 Zor Mini Revistas Comics 30.00 C/u ,30.0,,False
 [español] Dc Semanal: V For Vendetta #4 (de 10) ,49.0,,False
 Comic The Amazing Spider-man Volumen 2 Logros De Vida ,199.0,16.58,False
 Marvel Zombies Marvel Grandes Eventos Comic ,345.0,34.08,False
 Dc Essential: Crisis En Tierras Infinitas Nuevo Sellado!! ,599.0,59.18,True
 Comic Dc Comics Deluxe Injustice 2 Libro Uno Sellado Nuevo ,549.0,45.75,True
 [español] Marvel Grandes Eventos Marvel Zombies ,380.0,37.54,True
 Batman Preludio A Caída Del Murciélago Dc Clásicos Modernos ,450.0,44.46,False
 100 Bolsas/cartones Comic 50 Bolsa/cartoomnibus 50 Deluxe ,365.0,36.06,True
 100 Bolsas Y 100 Cartones Para Cómics Marca Weapon X Comics ,270.0,22.5,False
" Comic The Amazing Spider Man 799, 800, 801 Caer Peleando ",109.0,9.08,False
 Dark Nights Metal Vol.6 Variante Jim Lee Dc Televisa 2018 ,145.0,14.32,False
 Batman Knightfall Vol. 2 - 25 Aniversario Dc Comics Clásicos ,350.0,34.58,False
 Batman Last Knight On Earth Vol.2 Dc Televisa 2019 ,122.0,12.05,False
 Dark Nights Metal Batman Merciless Vol.1 Dc Televisa 2018 ,109.0,10.77,False
